0 3.9929 isra
1 3.9540 armi
2 3.4005 morn
3 1.5459 tuesdai
4 1.7533 explos
5 4.4383 blew
6 2.0431 hous
7 3.9377 northern
8 2.8688 west
9 4.3276 bank
10 3.3241 open
11 1.1880 suicid
12 2.3893 oper
13 4.0800 israel
14 2.8818 result
15 1.9081 wound
16 2.4911 sundai
17 2.3029 announc
18 2.0696 spokesman
19 3.3746 soldier
20 4.3347 destroi
21 5.3930 activist
22 2.4518 islam
23 4.6983 jihad
24 3.7933 movement
25 10.4080 rami
26 8.5335 ghanem
27 8.5335 netanya
28 3.4080 north
29 7.8230 tel
30 7.9055 aviv
31 4.3276 compani
32 4.7356 jerusalem
33 2.5899 arm
34 5.8844 wing
35 6.0860 palestin
36 3.6006 adopt
37 0.2401 said
38 8.9929 executor
39 9.6710 jamil
40 1.5417 year
41 2.7884 old
42 4.9055 student
43 4.7545 univers
44 10.9929 tulkarm
45 1.7533 ad
46 2.8949 come
47 6.8637 twenti
48 7.8230 seventh
49 6.7835 anniversari
50 4.4231 land
51 1.5730 dai
52 6.7075 guid
53 9.6710 heroic
54 4.6801 fighter
55 1.7344 iraq
56 2.9377 confirm
57 5.4538 integr
58 4.9161 battl
59 2.2753 baghdad
60 3.0981 face
61 8.9929 zionist
62 3.2616 aim
63 3.0830 arab
64 1.1712 nation
65 4.2650 destruct
66 1.4616 terrorist
67 3.6710 messag
68 5.4383 partner
69 2.9242 involv
70 5.5500 pai
71 6.1103 price
72 2.0726 work
73 6.7835 ari
74 4.9268 refuge
75 5.2248 camp
76 8.0860 ramallah
77 11.9929 natsh
78 4.3856 belong
79 2.3618 famili
80 1.9761 member
81 2.5356 organ
82 7.9055 fatah
83 3.0860 accus
84 3.4577 seri
85 3.2787 anti
86 2.7332 recent
87 2.1920 month
88 2.1937 accord
89 2.7474 hand
90 3.8130 palestinian
91 1.2684 secur
92 1.6857 forc
93 2.1537 arrest
94 1.6823 mondai
95 3.4694 even
96 4.6620 august
97 4.6892 undermin
98 5.8230 gaza
99 6.1856 strip
100 3.3383 hundr
101 4.7450 own
102 2.7884 person
103 4.2995 particip
104 2.0228 carri
105 0.5500 attack
106 9.9929 settler
107 3.7356 humanitarian
108 4.6006 denounc
109 3.9485 defens
110 3.4383 human
111 3.7593 right
112 4.0214 polici
113 7.1856 deem
114 5.6179 collect
115 5.6354 punish
116 3.3312 moi
117 6.7835 trigger
118 6.4694 happi
119 6.9055 policeman
120 8.2925 beaten
121 1.8975 death
122 0.5995 kill
123 9.4080 motorist
124 6.5335 argument
125 2.0358 place
126 6.1350 fuel
127 10.4080 queue
128 4.4772 southern
129 4.2582 nigerian
130 1.7835 citi
131 11.9929 asaba
132 4.4307 radio
133 2.3545 thursdai
134 7.6006 shortag
135 3.5835 hit
136 4.1042 oil
137 5.8844 rich
138 3.6892 nigeria
139 3.2083 caus
140 10.9929 petrol
141 4.2925 station
142 1.2406 countri
143 1.0351 state
144 3.3563 run
145 3.3967 shot
146 2.2182 dead
147 3.2821 try
148 8.9929 jump
149 4.5335 insist
150 2.4538 take
151 3.6354 turn
152 9.1856 enrag
153 2.0592 offic
154 6.2925 angri
155 6.0387 bystand
156 11.9929 pounc
157 4.1412 killer
158 7.1856 beat
159 1.7403 polic
160 5.7835 reput
161 4.6266 brutal
162 6.5335 corrupt
163 2.0446 wednesdai
164 5.0043 villag
165 1.5061 told
166 3.1824 afp
167 7.8230 squad
168 6.1103 burn
169 3.3099 dozen
170 4.2787 raid
171 3.3383 resid
172 11.9929 infirm
173 5.2650 flee
174 11.9929 joa
175 8.0860 dc
176 7.7450 kdz
177 2.7982 occur
178 1.9554 fridai
179 10.4080 trickl
180 11.9929 tikva
181 4.3347 casualti
182 1.2124 report
183 5.4694 preliminari
184 2.5500 inform
185 3.4005 incid
186 7.6006 thirti
187 0.5505 peopl
188 2.6620 took
189 11.9929 natania
190 2.2960 led
191 4.7545 implement
192 4.4538 element
193 10.4080 macer
194 7.8230 il
195 6.1600 interfax
196 2.1569 new
197 1.9002 agenc
198 4.3419 russian
199 3.5878 ambassador
200 2.7122 diplomat
201 3.2248 staff
202 5.2650 convoi
203 5.1985 evacu
204 2.3930 iraqi
205 1.5804 capit
206 4.2050 road
207 2.8105 lead
208 5.4383 syria
209 3.8897 refer
210 3.6179 injuri
211 1.9958 injur
212 8.2925 mi
213 6.1856 nur
214 1.1065 foreign
215 2.2667 ministri
216 4.6354 moscow
217 3.6486 process
218 2.6244 car
219 3.0741 embassi
220 1.1537 includ
221 4.6266 departur
222 4.0157 direct
223 5.7262 syrian
224 4.2856 border
225 1.9445 author
226 3.2515 know
227 3.8792 coalit
228 2.8205 british
229 6.4694 suppos
230 2.9295 return
231 4.4616 russia
232 5.5835 vladimir
233 6.7450 damascu
234 2.7098 point
235 4.0157 non
236 4.4307 essenti
237 3.7122 march
238 5.0741 outcom
239 7.9929 bb
240 3.2481 th
241 1.7262 war
242 3.5172 began
243 4.2582 surround
244 5.7262 shook
245 4.1288 full
246 5.2381 renew
247 5.4080 violent
248 2.8255 claim
249 6.2925 friendli
250 2.9458 fire
251 7.9055 aviat
252 3.7689 wake
253 8.5335 incurs
254 2.7426 hour
255 3.4971 street
256 5.0622 marin
257 6.3782 infantri
258 2.7403 troop
259 2.6244 head
260 5.4231 variou
261 2.8280 sourc
262 4.0921 complet
263 7.0860 rod
264 4.0981 third
265 6.3782 brigad
266 5.4851 divis
267 2.9873 move
268 4.5091 advanc
269 3.7168 south
270 2.9458 east
271 7.6710 tigri
272 6.7450 river
273 2.3047 continu
274 7.5335 trend
275 4.7356 view
276 3.8585 establish
277 6.6006 belt
278 2.1553 believ
279 5.4538 fulli
280 5.6179 suburb
281 4.9706 subject
282 4.1474 afternoon
283 4.6801 heard
284 5.0622 period
285 4.3491 intens
286 8.6710 aerial
287 7.4694 bombard
288 3.4042 franc
289 1.9135 press
290 5.1600 correspond
291 4.5921 centr
292 10.4080 doi
293 11.9929 katyusha
294 5.1856 rocket
295 4.9485 clearli
296 3.6179 central
297 3.9322 abl
298 3.0099 identifi
299 2.1180 target
300 2.6114 site
301 1.9135 time
302 4.5091 journalist
303 4.6354 kind
304 3.4499 launch
305 9.4080 platform
306 3.0771 truck
307 5.3205 mortar
308 5.6892 shell
309 1.5656 al
310 7.4694 sa
311 10.4080 dun
312 4.6092 heart
313 5.3636 avail
314 4.3563 fact
315 6.1350 missil
316 2.6869 victim
317 3.3819 eight
318 5.1103 ten
319 7.2381 mechan
320 6.4383 kurdish
321 5.7262 reduc
322 3.9215 air
323 4.1350 appar
324 5.6531 mistak
325 1.1585 offici
326 2.2667 other
327 5.1103 aircraft
328 4.6531 accompani
329 3.3455 charg
330 3.5793 affair
331 7.6006 kurdistan
332 3.5709 democrat
333 3.1443 parti
334 3.9986 telephon
335 5.6354 convers
336 8.4080 barzani
337 3.7498 good
338 5.1985 brother
339 7.7450 massoud
340 2.0272 leader
341 3.8432 danger
342 2.4694 part
343 5.6179 broadcast
344 6.5667 corpor
345 6.4694 bbc
346 3.9706 john
347 11.9929 simpson
348 2.3082 american
349 5.4080 editor
350 1.5573 intern
351 11.9929 hsbc
352 3.2995 wit
353 5.2925 count
354 2.7714 bodi
355 10.9929 erbil
356 4.1042 medic
357 2.4364 militari
358 3.7498 command
359 5.0272 acknowledg
360 4.3064 fall
361 3.3455 televis
362 3.9761 pictur
363 1.5531 presid
364 3.4080 saddam
365 3.4851 hussein
366 2.3223 saturdai
367 2.6733 meet
368 3.5132 senior
369 2.6620 polit
370 4.2314 cut
371 4.3276 son
372 8.8230 odai
373 3.7215 addit
374 2.9215 appear
375 5.7262 photograph
376 7.4080 fedayeen
377 2.3986 respons
378 7.9055 republican
379 3.0214 guard
380 1.1856 unit
381 5.6531 taha
382 5.9055 yassin
383 7.3491 ramadan
384 1.8193 call
385 3.7075 join
386 5.2515 gain
387 4.2182 access
388 6.0157 unabl
389 3.9817 attend
390 4.5500 origin
391 6.6354 satellit
392 5.7075 channel
393 2.9458 georg
394 2.8305 bush
395 3.2753 council
396 6.0622 david
397 9.4080 maryland
398 4.5417 eastern
399 3.8740 contact
400 3.1319 major
401 7.6006 dick
402 8.0860 chenei
403 1.2447 minist
404 5.8432 donald
405 5.9055 rumsfeld
406 1.9108 secretari
407 3.2018 colin
408 3.1632 powel
409 4.7835 egypt
410 3.8844 jordan
411 7.0860 volunt
412 2.6755 fight
413 9.6710 repel
414 4.6710 progress
415 7.5335 friendship
416 7.5335 liaison
417 6.6006 navi
418 3.6223 seen
419 6.5011 specifi
420 2.3967 number
421 5.0622 egyptian
422 4.2515 jordanian
423 5.3347 mosul
424 1.8844 where
425 6.5667 sound
426 3.6892 strong
427 7.0860 space
428 5.5835 island
429 6.7835 withdrew
430 2.7714 area
431 4.5417 heavi
432 2.8356 weapon
433 6.7450 vicin
434 4.6710 line
435 3.1288 control
436 4.5583 separ
437 4.7450 rest
438 4.7545 territori
439 6.2381 bridg
440 2.7545 go
441 4.1600 initi
442 3.1195 quot
443 4.5921 reveal
444 4.4460 ident
445 5.6531 qatar
446 6.0622 tank
447 4.4080 enter
448 11.9929 bassra
449 7.0860 desert
450 11.9929 rat
451 7.6006 armour
452 8.8230 pocket
453 4.8432 resist
454 7.2925 sporad
455 5.9706 basra
456 3.6486 nearli
457 6.6006 besieg
458 5.9485 offens
459 3.9268 captur
460 9.6710 karbala
461 4.7835 remov
462 5.7262 km
463 2.6071 prime
464 5.9055 toni
465 5.8432 blair
466 5.9929 tomorrow
467 10.9929 belfast
468 6.8637 ireland
469 1.9228 week
470 7.6710 vatican
471 6.9929 pope
472 4.4080 paul
473 5.2787 ii
474 2.5709 end
475 5.0622 quickli
476 5.3347 prayer
477 4.1412 port
478 3.9161 regim
479 4.9268 exist
480 7.2381 complementari
481 6.9055 leal
482 5.6354 jp
483 9.9929 elo
484 4.5172 leadership
485 4.4772 conduct
486 2.1920 investig
487 2.2821 statement
488 5.9929 awar
489 3.2281 detail
490 2.5335 earlier
491 2.8818 base
492 5.6710 assum
493 6.0157 allianc
494 3.2821 scene
495 3.1920 question
496 3.3064 confer
497 9.9929 torrenti
498 2.2067 gener
499 6.3491 brook
500 6.6354 knowledg
501 10.4080 lill
502 7.6710 companion
503 6.6354 exit
504 3.9431 consul
505 3.5335 went
506 2.6801 receiv
507 0.9309 bomb
508 5.0981 xinhua
509 5.1985 noteworthi
510 4.8031 analyst
511 3.9322 strongli
512 4.3782 oppos
513 3.3455 clear
514 6.7835 signal
515 8.4080 exert
516 3.8792 pressur
517 4.1226 chang
518 4.2718 posit
519 4.4851 vi
520 3.6531 suffer
521 6.5011 compris
522 2.5274 leav
523 3.9873 alli
524 5.7262 putin
525 3.0981 taken
526 4.3064 emerg
527 3.6710 measur
528 3.2018 assist
529 1.9055 group
530 4.8432 delai
531 2.3893 issu
532 3.7168 side
533 4.6892 necessari
534 4.5921 ensur
535 4.5583 safeti
536 3.2582 citizen
537 5.5335 assur
538 5.7835 await
539 6.1103 sector
540 5.9485 emphas
541 3.9873 advis
542 5.3636 driver
543 2.6553 link
544 3.5172 sign
545 6.1350 urgent
546 3.5500 action
547 3.7593 provid
548 6.8230 deliveri
549 11.9929 hindranc
550 5.1600 recal
551 4.0921 demand
552 8.4080 tone
553 7.6710 acut
554 4.4694 achiev
555 6.8230 guilti
556 2.5793 washington
557 6.7450 domin
558 3.1506 power
559 1.4374 govern
560 6.9055 fox
561 2.4753 network
562 3.4269 stress
563 5.5500 signific
564 2.3856 made
565 3.9986 airport
566 6.9485 en
567 6.1856 rout
568 6.2925 alexand
569 6.6354 itar
570 6.4694 tass
571 1.6823 sai
572 3.2684 mission
573 2.3312 depart
574 4.9595 counterpart
575 7.5335 igor
576 7.5335 ivanov
577 3.5335 bring
578 6.9929 atmospher
579 3.6398 spokeswoman
580 4.1103 spoke
581 4.8031 understand
